"Date","Package","Title","Packages-VM","Packages-MC","Packages-R","Data","Sport","Gender","Category","Statistical_methodology","Metodhology_type","Tutorial","Creation_date","version_first","Date_last","Version_last","R_journal","JQAS","Citation","Category","Creator's Country","Creator's gender","year_creation","year_updated"
2021-02-17,"GGIR","Raw Accelerometer Data Analysis","Yes","Yes","Yes","Yes","Physical activity","Both","NS","Yes","Descriptive","Yes",2013-08-08,"0.6-17",2021-02-17,"2.3-0","No","No","van Hees V, Fang Z, Zhao J, Heywood J, Mirkes E, Sabia S, Migueles J (2020). _GGIR:

Raw Accelerometer Data Analysis_. doi: 10.5281/zenodo.1051064 (URL:

https://doi.org/10.5281/zenodo.1051064), R package version 2.2-0, <URL:

van Hees V, Fang Z, Zhao J, Heywood J, Mirkes E, Sabia S, Migueles J (2020). _GGIR:

Raw Accelerometer Data Analysis_. doi: 10.5281/zenodo.1051064 (URL:

https://doi.org/10.5281/zenodo.1051064), R package version 2.2-0, <URL:

https://CRAN.R-project.org/package=GGIR>.","Sports technology","The Netherlands","Male",2013,2021
2021-02-16,"AdvancedBasketballStats","Advanced Basketball Statistics","Yes","Yes","Yes","No","Basketball","Both","Professional","Yes","Probabilities/prediction","Yes",2021-02-16,"1.0.0",2021-02-16,"1.0.0","No","No","Francisco Javier Cantero, Juan Jose Cuadrado and Universidad de Alcala de Henares

  (2021). AdvancedBasketballStats: Advanced Basketball Statistics. R package

  version 1.0.0. https://CRAN.R-project.org/package=AdvancedBasketballStats","Sports performance analysis","Spain","Male",2021,2021
2021-02-15,"nflfastR","Functions to Efficiently Access NFL Play by Play Data","Yes","Yes","Yes","Yes","American Football","Male","Professional","Yes","Scraping/probabilities","No",2020-09-01,"2.2.1",2021-02-15,"4.0.0","No","No","Sebastian Carl and Ben Baldwin (2021). nflfastR: Functions to Efficiently Access

  NFL Play by Play Data. R package version 4.0.0.

  https://CRAN.R-project.org/package=nflfastR","Sports performance analysis","United States of America","Female",2020,2021
2021-02-15,"runexp","Softball Run Expectancy using Markov Chains and Simulation","Yes","Yes","Yes","Yes","Softball","Both","NS","Yes","Simulation","No",2021-02-15,"0.1.0",2021-02-15,"0.1.0","No","No","Annie Sauer and Sierra Merkes (2021). runexp: Softball Run Expectancy using

  Markov Chains and Simulation. R package version 0.1.0.

  https://CRAN.R-project.org/package=runexp","Sports performance analysis","Germany","Male",2021,2021
2021-02-12,"BAwiR","Analysis of Basketball Data","Yes","Yes","Yes","No","Basketball","Male","Professional","No","Scraping/visualization","Yes",2018-01-25,"1.0",2021-02-12,"1.2.5","No","No","Guillermo Vinue (2021). BAwiR: Analysis of Basketball Data. R package version

  1.2.5. https://CRAN.R-project.org/package=BAwiR","Sports performance analysis","Spain","Male",2018,2021
2021-02-10,"squashinformr","Politely Web Scrape Data from SquashInfo","Yes","Yes","Yes","No","Squash","Both","Professional","No","Scraping","No",2020-05-01,"0.1.2",2021-02-10,"0.2.1","No","No","Hayden MacDonald (2021). squashinformr: Politely Web Scrape Data from SquashInfo.

  R package version 0.2.1. https://CRAN.R-project.org/package=squashinformr","Sports performance analysis","United Kingdom","Male",2020,2021
2021-02-08,"ffscrapr","API Client for Fantasy Football League Platforms","Yes","Yes","Yes","Yes (depends on other packages)","American Football","Male","Professional","No","Scraping","Yes",2020-08-17,"1.0.0",2021-02-08,"1.2.2","No","No","Tan Ho (2021). ffscrapr: API Client for Fantasy Football League Platforms. R

  package version 1.2.2. https://CRAN.R-project.org/package=ffscrapr","Sports performance analysis","Canada","Male",2020,2021
2021-02-03,"combinedevents","Calculate Scores and Marks for Track and Field Combined Events","Doubt","No","Yes","Yes","Athletics","Both","Professional","Yes","Scraping/preprocessing","No",2020-09-23,"0.1.0",2021-02-03,"0.1.1","No","No","Katie Frank (2021). combinedevents: Calculate Scores and Marks for Track and

  Field Combined Events. R package version 0.1.1.

  https://CRAN.R-project.org/package=combinedevents","Sports performance analysis","India","Male",2020,2021
2021-02-03,"yorkr","Analyze Cricket Performances Based on Data from Cricsheet","Yes","Yes","Yes","No","Cricket","Male","Professional","No","Scraping/preprocessing","No",2016-04-01,"0.0.2",2021-02-03,"0.0.19","No","No","Tinniam V Ganesh (2021). yorkr: Analyze Cricket Performances Based on Data from

  Cricsheet. R package version 0.0.19. https://CRAN.R-project.org/package=yorkr","Sports performance analysis","United States of America","Female",2016,2021
2021-01-28,"icdpicr","'ICD' Programs for Injury Categorization in R","No","Doubt","Yes","Yes","Injury sports medicine","Both","NS","No","Scraping/categorization","Yes",2021-01-28,"1.0.0",2021-01-28,"1.0.0","No","No","Adam Black and David Clark (2021). icdpicr: 'ICD' Programs for Injury

  Categorization in R. R package version 1.0.0.

  https://CRAN.R-project.org/package=icdpicr","Athlete health","United States of America","Male",2021,2021
2021-01-22,"PhysicalActivity","Process Accelerometer Data for Physical Activity Measurement","Yes","Yes","Yes","Yes","Physical activity","Both","NS","Yes","Descriptive","No",2010-09-15,"0.1-0",2021-01-22,"0.2-4","No","No","Leena Choi, Cole Beck, Zhouwen Liu, Ryan Moore, Charles E. Matthews and Maciej S.

  Buchowski (2021). PhysicalActivity: Process Accelerometer Data for Physical

  Activity Measurement. R package version 0.2-4.

  https://CRAN.R-project.org/package=PhysicalActivity","Sports technology","United States of America","Female",2010,2021
2021-01-21,"Lahman","Sean 'Lahman' Baseball Database","Yes","Yes","Yes","Yes","Baseball","Male","Professional","No","Scraping/classification","Yes",2011-09-30,"1.0-7",2021-01-21,"8.0-1","No","No","Michael Friendly, Chris Dalzell, Martin Monkman and Dennis Murphy (2021). Lahman:

  Sean 'Lahman' Baseball Database. R package version 8.0-1.

  https://CRAN.R-project.org/package=Lahman","Sports performance analysis","Canada","Male",2011,2021
2021-01-13,"SwimmeR","Data Import, Cleaning, and Conversions for Swimming Results","Yes","Yes","Yes","Yes","Swimming/Scuba diving","Both","Professional","No","Scraping/classification","Yes",2019-10-10,"0.1.0.0",2021-01-13,"0.7.2","No","No","Pilgrim, Gregory A. (2019). SwimmeR: Package for working with swimming data.

  version 0.5.4. https://github.com/gpilgrim2670/SwimmeR","Sports performance analysis","Korea","Female",2019,2021
2021-01-13,"tashu","Analysis and Prediction of Bicycle Rental Amount","No","Doubt","Yes","Yes (depends on other packages)","Cycling","Both","Amateur","Yes","Prediction/preprocessing","Yes",2019-09-04,"0.1.0",2021-01-13,"0.1.1","No","No","Jiwon Min (2021). tashu: Analysis and Prediction of Bicycle Rental Amount. R

  package version 0.1.1. https://CRAN.R-project.org/package=tashu","Movement integration","United States of America","Male",2019,2021
2021-01-12,"fitzRoy","Easily Scrape and Process AFL Data","No","No","Yes","No","Australian Football","Male","Professional","Yes","Scraping/preprocessing","Yes",2019-11-30,"0.2.0",2021-01-12,"0.3.3","Yes","No","James Day, Robert Nguyen and Oscar Lane (2021). fitzRoy: Easily Scrape and

  Process AFL Data. R package version 0.3.3.

  https://CRAN.R-project.org/package=fitzRoy","Sports performance analysis","Australia","Male",2019,2021
2021-01-10,"arctools","Processing and Physical Activity Summaries of Minute Level Activity Data","Yes","No","Yes","Yes","Physical activity","Both","NS","Yes","Extraction/processing","Yes",2020-11-27,"1.0.0",2021-01-10,"1.1.0","No","No","Marta Karas, Jacek Urbanek and Jennifer Schrack (2021). arctools: Processing and

  Physical Activity Summaries of Minute Level Activity Data. R package version

  1.1.0. https://CRAN.R-project.org/package=arctools","Movement integration","United States of America","Female",2020,2021
2021-01-08,"fflr","Collect ESPN Fantasy Football Data","Yes","Yes","Yes","Yes","American Football","Male","Professional","No","Scraping","Yes",2020-10-27,"0.3.8",2021-01-08,"0.3.15","No","No","Kiernan Nicholls (2021). fflr: Collect ESPN Fantasy Football Data. R package

  version 0.3.15. https://CRAN.R-project.org/package=fflr","Sports performance analysis","United States of America","Male",2020,2021
2021-01-07,"nbapalettes","An NBA Jersey Palette Generator","Doubt","Yes","Yes","Yes","Basketball","Male","Professional","No","Scraping","No",2021-01-07,"0.1.0",2021-01-07,"0.1.0","No","No","Murray Josh (2021). nbapalettes: An NBA Jersey Palette Generator. R package

  version 0.1.0. https://CRAN.R-project.org/package=nbapalettes","Sports technology","Canada","Male",2021,2021
